pathway	gene1	gene2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	AKR1A1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH1A
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH1B
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH1C
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH4
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH5
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH6
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ADH7
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ACSS2
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	ACSS1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	FBP1
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	PFKL
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	PFKM
Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	PFKP
