pathway	gene1	gene2
Olfactory transduction - Homo sapiens (human)	OR5I1	GNAL
Olfactory transduction - Homo sapiens (human)	ADCY3	CNGB1
Olfactory transduction - Homo sapiens (human)	ADCY3	CNGA3
Olfactory transduction - Homo sapiens (human)	ADCY3	CNGA4
Olfactory transduction - Homo sapiens (human)	ADCY3	PRKACA
Olfactory transduction - Homo sapiens (human)	ADCY3	PRKACB
Olfactory transduction - Homo sapiens (human)	ADCY3	PRKACG
Olfactory transduction - Homo sapiens (human)	ADCY3	PRKX
Olfactory transduction - Homo sapiens (human)	ADCY3	PRKY
Olfactory transduction - Homo sapiens (human)	OR52E2	GNAL
Olfactory transduction - Homo sapiens (human)	OR52J3	GNAL
Olfactory transduction - Homo sapiens (human)	OR51L1	GNAL
Olfactory transduction - Homo sapiens (human)	OR51A7	GNAL
Olfactory transduction - Homo sapiens (human)	OR51S1	GNAL
Olfactory transduction - Homo sapiens (human)	OR51F2	GNAL
Olfactory transduction - Homo sapiens (human)	OR52R1	GNAL
Olfactory transduction - Homo sapiens (human)	OR4C46	GNAL
Olfactory transduction - Homo sapiens (human)	OR4X2	GNAL
Olfactory transduction - Homo sapiens (human)	OR4B1	GNAL
Olfactory transduction - Homo sapiens (human)	OR52M1	GNAL
Olfactory transduction - Homo sapiens (human)	OR52K2	GNAL
Olfactory transduction - Homo sapiens (human)	OR5P2	GNAL
Olfactory transduction - Homo sapiens (human)	OR5P3	GNAL
Olfactory transduction - Homo sapiens (human)	OR8I2	GNAL
Olfactory transduction - Homo sapiens (human)	OR2D3	GNAL
Olfactory transduction - Homo sapiens (human)	OR2D2	GNAL
Olfactory transduction - Homo sapiens (human)	OR52W1	GNAL
Olfactory transduction - Homo sapiens (human)	OR56A4	GNAL
Olfactory transduction - Homo sapiens (human)	OR56A1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10P1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10AD1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10A7	GNAL
Olfactory transduction - Homo sapiens (human)	OR4K14	GNAL
Olfactory transduction - Homo sapiens (human)	OR4L1	GNAL
Olfactory transduction - Homo sapiens (human)	OR11H6	GNAL
Olfactory transduction - Homo sapiens (human)	OR4D2	GNAL
Olfactory transduction - Homo sapiens (human)	CNGB1	CLCA1
Olfactory transduction - Homo sapiens (human)	CNGB1	CALML6
Olfactory transduction - Homo sapiens (human)	CNGB1	CLCA4
Olfactory transduction - Homo sapiens (human)	CNGB1	GUCA1A
Olfactory transduction - Homo sapiens (human)	CNGB1	GUCA1B
Olfactory transduction - Homo sapiens (human)	CNGB1	CALML5
Olfactory transduction - Homo sapiens (human)	CNGB1	CALM1
Olfactory transduction - Homo sapiens (human)	CNGB1	CALM2
Olfactory transduction - Homo sapiens (human)	CNGB1	CALM3
Olfactory transduction - Homo sapiens (human)	CNGB1	CALML3
Olfactory transduction - Homo sapiens (human)	CNGB1	GUCA1C
Olfactory transduction - Homo sapiens (human)	CNGB1	CLCA2
Olfactory transduction - Homo sapiens (human)	OR7D4	GNAL
Olfactory transduction - Homo sapiens (human)	OR7G1	GNAL
Olfactory transduction - Homo sapiens (human)	OR1M1	GNAL
Olfactory transduction - Homo sapiens (human)	CNGA3	CLCA1
Olfactory transduction - Homo sapiens (human)	CNGA3	CALML6
Olfactory transduction - Homo sapiens (human)	CNGA3	CLCA4
Olfactory transduction - Homo sapiens (human)	CNGA3	GUCA1A
Olfactory transduction - Homo sapiens (human)	CNGA3	GUCA1B
Olfactory transduction - Homo sapiens (human)	CNGA3	CALML5
Olfactory transduction - Homo sapiens (human)	CNGA3	CALM1
Olfactory transduction - Homo sapiens (human)	CNGA3	CALM2
Olfactory transduction - Homo sapiens (human)	CNGA3	CALM3
Olfactory transduction - Homo sapiens (human)	CNGA3	CALML3
Olfactory transduction - Homo sapiens (human)	CNGA3	GUCA1C
Olfactory transduction - Homo sapiens (human)	CNGA3	CLCA2
Olfactory transduction - Homo sapiens (human)	CNGA4	CLCA1
Olfactory transduction - Homo sapiens (human)	CNGA4	CALML6
Olfactory transduction - Homo sapiens (human)	CNGA4	CLCA4
Olfactory transduction - Homo sapiens (human)	CNGA4	GUCA1A
Olfactory transduction - Homo sapiens (human)	CNGA4	GUCA1B
Olfactory transduction - Homo sapiens (human)	CNGA4	CALML5
Olfactory transduction - Homo sapiens (human)	CNGA4	CALM1
Olfactory transduction - Homo sapiens (human)	CNGA4	CALM2
Olfactory transduction - Homo sapiens (human)	CNGA4	CALM3
Olfactory transduction - Homo sapiens (human)	CNGA4	CALML3
Olfactory transduction - Homo sapiens (human)	CNGA4	GUCA1C
Olfactory transduction - Homo sapiens (human)	CNGA4	CLCA2
Olfactory transduction - Homo sapiens (human)	OR1I1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10H4	GNAL
Olfactory transduction - Homo sapiens (human)	OR2M5	GNAL
Olfactory transduction - Homo sapiens (human)	OR2M3	GNAL
Olfactory transduction - Homo sapiens (human)	OR2T12	GNAL
Olfactory transduction - Homo sapiens (human)	OR5BF1	GNAL
Olfactory transduction - Homo sapiens (human)	OR2T34	GNAL
Olfactory transduction - Homo sapiens (human)	OR2T10	GNAL
Olfactory transduction - Homo sapiens (human)	OR2T4	GNAL
Olfactory transduction - Homo sapiens (human)	OR2T11	GNAL
Olfactory transduction - Homo sapiens (human)	OR10J5	GNAL
Olfactory transduction - Homo sapiens (human)	OR2B11	GNAL
Olfactory transduction - Homo sapiens (human)	OR10T2	GNAL
Olfactory transduction - Homo sapiens (human)	OR10X1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10Z1	GNAL
Olfactory transduction - Homo sapiens (human)	OR6K6	GNAL
Olfactory transduction - Homo sapiens (human)	OR6N1	GNAL
Olfactory transduction - Homo sapiens (human)	OR9A4	GNAL
Olfactory transduction - Homo sapiens (human)	OR2Y1	GNAL
Olfactory transduction - Homo sapiens (human)	OR9A2	GNAL
Olfactory transduction - Homo sapiens (human)	OR2A14	GNAL
Olfactory transduction - Homo sapiens (human)	OR6B1	GNAL
Olfactory transduction - Homo sapiens (human)	OR2F2	GNAL
Olfactory transduction - Homo sapiens (human)	OR13C5	GNAL
Olfactory transduction - Homo sapiens (human)	OR13C8	GNAL
Olfactory transduction - Homo sapiens (human)	OR13C3	GNAL
Olfactory transduction - Homo sapiens (human)	OR13C4	GNAL
Olfactory transduction - Homo sapiens (human)	OR13F1	GNAL
Olfactory transduction - Homo sapiens (human)	OR1L8	GNAL
Olfactory transduction - Homo sapiens (human)	OR1N2	GNAL
Olfactory transduction - Homo sapiens (human)	OR1N1	GNAL
Olfactory transduction - Homo sapiens (human)	OR52B4	GNAL
Olfactory transduction - Homo sapiens (human)	OR52I2	GNAL
Olfactory transduction - Homo sapiens (human)	OR51E1	GNAL
Olfactory transduction - Homo sapiens (human)	OR10A5	GNAL
Olfactory transduction - Homo sapiens (human)	OR2AG1	GNAL
Olfactory transduction - Homo sapiens (human)	OR6B3	GNAL
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5I1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52E2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52J3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51A7
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51F2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52R1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C46
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4X2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4B1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5P2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5P3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8I2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2D3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52W1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR56A4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR56A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10P1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10AD1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A7
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4K14
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR11H6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7D4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7G1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1I1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10H4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2M5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2M3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T12
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5BF1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T34
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T10
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T11
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10J5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2B11
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10T2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10X1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10Z1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6K6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6N1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9A4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2Y1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A14
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6B1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2F2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1L8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1N2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1N1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52B4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52I2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51E1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2AG1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6B3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1Q1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR56B4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8U1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C16
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C11
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4S2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5D14
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5D18
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AS1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8K5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5T2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8H1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8K3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8J1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5R1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M11
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AR1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8B12
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8G5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G9
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6T1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6Q1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9I1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9Q1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9Q2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1S2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10Q1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5B17
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5B21
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D11
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C74
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1L4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52B2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2B6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1J4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2M4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2L2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7A17
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5L2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5K1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10J1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8G2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8B8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8G1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR12D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR11A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10H3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10H2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10H1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7C2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7A5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4F4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4F3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4E2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2W1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2J2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2H1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1L3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1J2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51B5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10AG1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5J2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C13
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4C12
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51V1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8D1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8B4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9G4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4N4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2Z1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10H5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2L13
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AT1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2V2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C9
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13D1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8D4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AP2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2AG2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52B6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2AT4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6S1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2W3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10R2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T29
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6V1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A12
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1J1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1B1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13H1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR56B1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6B2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52K1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52I1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51D1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52A5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51B6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51Q1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51I1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51I2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52D1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52H1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52N4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52N5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52N2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52E6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52E8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR52E4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR56A3
Olfactory transduction - Homo sapiens (human)	ADRBK2	LOC390084
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10A6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4X1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5D13
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5D16
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8H2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8H3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5T3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5T1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8K1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M9
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M10
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9G1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AK2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5B12
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AN1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D10
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4D9
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10V1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6X1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10G7
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C75
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C76
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6C70
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4N2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4K13
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4K17
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4N5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR11G2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR11H4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5AU1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4M2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4F6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4F15
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7G2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7G3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR7A10
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10K1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6Y1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR6K3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR11L1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2L8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2AK2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2L3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2M2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T33
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2M7
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2G6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A25
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13J1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13C2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1L6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1K1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A7
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51T1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51A4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2T5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5BU1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A42
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5B3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR9K2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4Q3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4M1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10J3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13G1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2J3
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5U1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR10C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1D2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR1F1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2C1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR3A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR3A2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR8U8
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2S2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR13A1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5H6
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR5H2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR4K5
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR2H2
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51G1
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51B4
Olfactory transduction - Homo sapiens (human)	ADRBK2	OR51B2
